"DIFF";"R2";"R7";"R8";"R17";"R22";"R32"
0;0,705;0,29;0,1334;0,0481;0,5258;0,2941
1;0,801;0,213;0,1282;0,0186;2,1411;0,3005
1;0,591;0,429;0,2999;0,08;0,5957;0,4126
0;0,373;0,346;1,3704;0,0812;0,343;0,2265
0;0;1,417;0,2493;0,0501;0,8728;0,1086
0;0,0884;0,841;0,1126;0,114;1,0979;0,1217
0;0,292;1,23;0,4892;0,0997;0,1918;0,1716
1;0,937;0,174;0,692;0,0552;0,6342;0,4505
1;0,693;0,932;0,7311;0,0412;1,1749;0,2388
1;0,687;0,459;0,2014;0,0847;0,1762;0,4071
1;0,725;0,469;1,8494;0,0458;0,1895;0,3102
1;0,782;0,631;0,04883;0,0664;0,5433;0,3098
0;0,195;1,351;0,2371;0,109;0,4593;0,04117
0;0,74;2,557;0,9733;0,0316;0,1904;-0,0979
0;0;0,909;0,6319;0,094;0,2579;0,07789
0;0,0989;0,991;0,339;0,107;0,7093;0,1678
0;0,107;0,807;0,1187;0,0579;0,3226;0,05513
0;0;1,073;0,1511;0,0506;0,1202;0,2818
1;0,672;0,312;0,7285;0,0394;0,5191;0,3597
1;0,809;0,344;0,5517;0,0685;0,114;0,3681
0;0,753;0,595;0,05767;0,0958;0,6316;0,2307
1;0,594;1,077;0,4402;0,067;0,5551;0,364
0;0;1,494;0,4093;0,0497;0,3771;0,1366
1;0,735;0,324;0,7825;0,0336;0,6359;0,2566
0;0;0,669;0,2601;0,0428;1,5371;0,05513
1;0,685;0,842;0,4008;0,0539;1,4433;0,1578
0;0,0352;0,793;0,2193;0,0675;0,7043;0,1532
0;0,0579;0,819;0,261;0,03;0,3076;0,352
0;0,391;0,27;0,3582;0,0377;0,7355;0,2195
1;0,708;0,503;0,5497;0,0458;0,7667;0,3813
1;0,497;0,432;0,8797;0,114;0,5526;0,1499
1;0,395;0,776;0,1379;0,0443;0,4529;0,4313
0;0,792;0,284;0,3118;0,0692;1,0386;0,06608
0;0,62;0,592;0,2805;0,06;0,8046;0,3831
0;0,759;0,399;0,2349;0,0482;0,8857;0,1882
1;0,614;0,673;0,198;0,0226;0,08913;0,3474
0;0,479;0,993;0,25;0,0707;0,2673;0,09128
0;0,145;0,758;0,6652;0,0592;0,4312;0,05513
1;0,77;0,283;0,0716;0,0713;0,3295;0,2513
1;0,755;0,309;0,1004;0,0202;0,4168;0,2062
0;0;2,557;0,2775;0,0942;0,201;0,2893
0;0,528;0,739;0,141;0,0355;0,217;0,1929
1;0,717;0,569;0,4635;0,0524;0,1193;0,37
1;0,8;0,394;0,04217;0,0321;4,9711;0,3209
0;0;0,72;0,3189;0,0884;0,4565;0,05513
1;0,811;0,256;1,8494;0,0269;0,569;0,2542
1;0,531;0,778;0,2493;0,045;1,4966;0,324
0;0,223;1,135;0,04217;0,0478;0,5977;0,2614
1;0,721;0,62;0,547;0,0476;0,3713;0,4505
0;0;1,131;0,08603;0,0589;10,84;-0,0656
1;0,95;0,0695;0,1013;0,0202;0,8279;0,2852
0;0,636;0,547;0,8797;0,0651;0,2744;0,3021
1;0,914;0,0851;0,2252;0,0303;0,2324;0,2814
0;0;0,918;0,1575;0,0835;0,7423;0,05513
0;0,621;1,06;1,8494;0,088;0,8628;-0,0787
0;0;2,557;0,1412;0,0732;0,3329;-0,0979
1;0,633;0,823;0,09772;0,0544;0,2244;0,4313
1;0,796;0,336;0,4563;0,0492;0,5551;0,4016
1;0,653;0,521;0,2859;0,0885;0,553;0,261
1;0,603;0,428;0,05174;0,0612;0,6706;0,3231
0;0,573;1,996;0,8797;0,0758;0,3216;-0,162
0;0,791;0,366;0,2356;0,0528;0,4493;-0,001
0;0,23;1,026;0,1339;0,047;0,7828;0,1413
1;0,848;0,182;0,07034;0,0307;0,2748;0,4313
0;0;1,333;0,1845;0,0593;1,5371;-0,0979
1;0,95;0,0695;0,04883;0,0202;0,5032;0,3002
0;0;0,31;0,7726;0,0932;0,8;0,2615
1;0,95;0,0695;0,1786;0,0308;0,5646;0,4179
0;0,383;1,391;0,2057;0,0914;1,0475;0,05972
1;0,81;0,303;0,8797;0,107;0,6997;0,4313
1;0,451;0,563;0,635;0,0437;0,6923;0,3479
0;0,483;0,819;0,2585;0,0532;0,5667;0,1725
1;0,88;0,134;0,1155;0,0314;0,8297;0,3607
0;0,156;2,557;0,1532;0,0915;0,326;-0,0252
1;0,7;0,331;0,2435;0,0523;0,5615;0,4287
1;0,673;0,401;0,2373;0,0393;0,265;0,2263
0;0,302;1,338;0,2405;0,054;0,4403;0,04833
1;0,683;1,06;0,7719;0,0219;2,3149;0,2033
1;0,94;0,101;0,4975;0,0646;0,829;0,3373
0;0,486;1,241;0,08335;0,0445;0,2575;0,05513
1;0,909;0,114;0,1743;0,105;0,4403;0,4313
0;0,677;0,256;0,2776;0,114;1,1686;0,1101
0;0,647;0,709;0,6784;0,0628;0,2076;0,1301
1;0,424;0,653;0,04883;0,0497;0,1592;0,235
0;0;0,9;0,398;0,0688;0,3564;0,1035
1;0,773;0,348;0,8352;0,0302;0,1009;0,3234
0;0,245;1,522;0,4604;0,124;0,3972;0,07277
1;0,488;1,594;0,3455;0,0554;0,3752;0,2699
1;0,704;0,472;0,1546;0,0877;0,2043;0,31
1;0,95;0,0695;0,1452;0,0202;0,692;0,2981
1;0,175;1,508;0,3947;0,0479;0,317;0,15
0;0,465;1,241;0,837;0,044;0,4921;0,1254
1;0,95;0,0695;0,5599;0,0202;0,3626;0,4027
1;0,843;0,252;0,1653;0,0905;0,6224;0,3121
0;0,297;1,12;0,4704;0,0318;1,2573;0,2508
0;0,406;1,077;0,05081;0,0364;0,2838;0,1025
1;0,8;0,257;0,04883;0,0765;0,4935;0,3349
