"ID","DIFF"
1,"1"
2,"1"
3,"0"
4,"0"
5,"1"
6,"0"
7,"1"
8,"0"
9,"0"
10,"0"
11,"1"
12,"1"
13,"0"
14,"1"
15,"1"
16,"0"
17,"1"
18,"0"
19,"1"
20,"0"
21,"0"
22,"1"
23,"1"
24,"1"
25,"0"
26,"1"
27,"1"
28,"0"
29,"1"
30,"1"
31,"1"
32,"1"
33,"0"
34,"0"
35,"1"
36,"1"
37,"0"
38,"0"
39,"0"
40,"1"
41,"1"
42,"1"
43,"1"
44,"0"
45,"0"
46,"1"
47,"1"
48,"1"
49,"1"
50,"1"
51,"1"
52,"0"
53,"1"
54,"0"
55,"1"
56,"0"
57,"0"
58,"1"
59,"0"
60,"1"
61,"1"
62,"0"
63,"0"
64,"1"
65,"0"
66,"0"
67,"1"
68,"0"
69,"1"
70,"0"
71,"0"
72,"0"
73,"1"
74,"0"
75,"0"
76,"0"
77,"1"
78,"1"
79,"0"
80,"0"
81,"1"
82,"0"
83,"1"
84,"0"
85,"1"
86,"1"
87,"1"
88,"1"
89,"0"
90,"0"
91,"0"
92,"1"
93,"1"
94,"1"
95,"0"
96,"0"
97,"0"
